Position,Free Energy
0,-0.5
1,0.0
2,0.0
3,0.0
4,0.0
5,-0.5
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,-0.5
27,-0.5
28,0.0
29,0.0
30,0.0
31,0.0
32,-0.5
33,0.0
34,0.0
35,-0.5
36,0.0
37,-0.5
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,-0.5
46,-0.5
47,-0.5
48,0.0
49,0.0
50,0.0
51,0.0
52,-0.5
53,0.0
54,0.0
55,-0.5
56,-0.5
57,0.0
58,0.0
59,0.0
60,0.0
61,-0.5
62,0.0
63,0.0
64,-0.5
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,-0.5
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,-0.5
89,0.0
90,-0.5
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,-0.5
97,0.0
98,0.0
99,0.0
100,0.0
101,-0.5
102,-0.5
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,-0.5
112,0.0
113,0.0
114,0.0
115,-0.5
116,0.0
117,0.0
118,-0.5
119,0.0
120,0.0
121,0.0
122,-0.5
123,0.0
124,0.0
125,0.0
126,-0.5
127,0.0
128,0.0
129,-0.5
130,-0.5
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,-0.5
140,0.0
141,-0.5
142,-0.5
143,0.0
144,0.0
145,0.0
146,0.0
147,-0.5
148,0.0
149,-0.5
150,0.0
151,0.0
152,0.0
153,-0.5
154,-0.5
155,0.0
156,0.0
157,-0.5
158,-0.5
159,0.0
160,-0.5
161,0.0
162,-0.5
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,-0.5
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,-0.5
193,-0.5
194,0.0
195,0.0
196,-0.5
197,0.0
198,0.0
199,-0.5
200,-0.5
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,-0.5
212,-0.5
213,0.0
214,0.0
215,-0.5
216,-0.5
217,-0.5
218,0.0
219,0.0
220,-0.5
221,0.0
222,0.0
223,0.0
224,0.0
225,-0.5
226,0.0
227,0.0
228,-0.5
229,0.0
230,-0.5
231,-0.5
232,0.0
233,-0.5
234,0.0
235,0.0
236,-0.5
237,-0.5
238,-0.5
239,-0.5
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,-0.5
246,-0.5
247,0.0
248,-0.5
249,-0.5
250,0.0
251,-0.5
252,0.0
253,-0.5
254,-0.5
255,0.0
256,-0.5
257,-0.5
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,-0.5
264,0.0
265,0.0
266,-0.5
267,-0.5
268,0.0
269,0.0
270,0.0
271,0.0
272,-0.5
273,0.0
274,0.0
275,-0.5
276,0.0
277,-0.5
278,0.0
279,0.0
280,-0.5
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,-0.5
290,0.0
291,0.0
292,0.0
293,0.0
294,-0.5
295,0.0
296,0.0
297,-0.5
298,0.0
299,-0.5
300,0.0
301,-0.5
302,0.0
303,0.0
304,0.0
305,0.0
306,-0.5
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,-0.5
313,-0.5
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,-0.5
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,-0.5
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,-0.5
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,-0.5
355,0.0
356,0.0
357,-0.5
358,-0.5
359,0.0
360,0.0
361,0.0
362,0.0
363,-0.5
364,0.0
365,0.0
366,-0.5
367,0.0
368,0.0
369,0.0
370,-0.5
371,0.0
372,0.0
373,0.0
374,-0.5
375,0.0
376,0.0
377,-0.5
378,0.0
379,-0.5
380,0.0
381,-0.5
382,0.0
383,0.0
384,0.0
385,0.0
386,-0.5
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,-0.5
396,0.0
397,-0.5
398,-0.5
399,0.0
400,-0.5
401,0.0
402,-0.5
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
