Position,Free Energy
0,-0.5
1,0.0
2,-0.5
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,-0.5
11,0.0
12,0.0
13,0.0
14,-0.5
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-0.5
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-0.5
41,0.0
42,0.0
43,0.0
44,-0.5
45,0.0
46,-0.5
47,0.0
48,0.0
49,0.0
50,0.0
51,-0.5
52,0.0
53,-0.5
54,0.0
55,0.0
56,-0.5
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,-0.5
67,-0.5
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,-0.5
75,0.0
76,0.0
77,0.0
78,-0.5
79,0.0
80,0.0
81,0.0
82,-0.5
83,0.0
84,-0.5
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,-0.5
91,0.0
92,0.0
93,0.0
94,-0.5
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,-0.5
101,0.0
102,-0.5
103,-0.5
104,0.0
105,0.0
106,0.0
107,-0.5
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,-0.5
115,0.0
116,-0.5
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,-0.5
125,0.0
126,-0.5
127,-0.5
128,0.0
129,0.0
130,0.0
131,0.0
132,-0.5
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,-0.5
140,0.0
141,0.0
142,-0.5
143,0.0
144,0.0
145,0.0
146,0.0
147,-0.5
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,-0.5
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,-0.5
165,0.0
166,-0.5
167,0.0
168,0.0
169,-0.5
170,0.0
171,0.0
172,0.0
173,0.0
174,-0.5
175,0.0
176,-0.5
177,0.0
178,0.0
179,-0.5
180,-0.5
181,0.0
182,0.0
183,0.0
184,0.0
185,-0.5
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,-0.5
200,0.0
201,0.0
202,-0.5
203,0.0
204,0.0
205,-0.5
206,0.0
207,0.0
208,0.0
209,-0.5
210,0.0
211,0.0
212,-0.5
213,0.0
214,0.0
215,0.0
216,-0.5
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
